"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1974 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1975 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1976 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1977 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1978 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1979 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1980 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1981 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1982 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1983 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1984 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1985 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1986 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1987 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1988 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1989 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1990 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1991 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1992 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1993 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1994 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1995 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1996 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1997 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1998 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1999 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2000 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2001 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2002 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2003 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2004 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2005 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2006 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2007 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2008 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2009 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2010 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2011 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2012 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2013 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2014 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2015 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2016 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2017 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2018 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2019 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2020 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2021 (ha)"
"S�o Pedro do Sul","4319406","-29.620200000000","-54.185499999990","2.017","2.281","2.582","3.742","2.890","2.473","2.700","3.000","3.000","3.920","2.500","3.000","3.000","2.900","2.900","4.000","5.000","5.000","3.800","3.800","3.800","3.140","3.800","3.300","3.300","3.300","3.300","3.300","4.015","4.015","4.100","4.100","4.100","3.900","3.900","4.050","3.550","4.050","3.700","4.000","4.000","3.700","3.427","3.488","3.488","3.050","4.000","4.000"
"S�o Sebasti�o do Ca�","4319505","-29.588500000000","-51.374899999990","750","84","297","120","250","335","345","363","400","390","420","420","420","420","780","15","15","15","15","10","10","10","1","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Sep�","4319604","-30.164300000000","-53.560299999990","10.733","11.337","12.895","12.000","12.200","10.393","11.900","11.360","13.000","14.060","15.000","15.000","11.640","16.000","16.000","16.000","11.200","16.000","16.000","16.500","17.000","16.500","14.850","14.850","14.140","16.000","16.000","19.700","19.700","19.700","19.700","16.953","19.700","19.700","20.000","20.000","18.312","22.520","18.140","17.000","17.900","17.853","16.094","17.200","17.200","16.700","16.000","17.500"
"S�o Valentim","4319703","-27.558299999990","-52.523699999990","500","500","550","530","600","-","450","480","480","450","430","450","280","450","450","140","140","100","150","150","150","150","123","110","15","20","15","15","15","15","15","-","15","15","15","15","8","4","2","2","-","-","-","-","-","-","-","-"
"S�o Valentim do Sul","4319711","-29.045100000000","-51.768400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","40","40","40","30","40","40","40","40","20","15","10","10","10","10","5","5","5","5","2","2","1","2","2","2","2","2","1","-","-"
"S�o Val�rio do Sul","4319737","-27.790600000000","-53.936799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25","15","15","25","5","5","3","3","3","5","5","8","8","5","2","8","5","1","-","-","-","-","-","-","-","-","-","-","-"
"S�o Vendelino","4319752","-29.372900000000","-51.367500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8","8","0","6","6","6","6","8","10","10","10","10","5","5","5","5","5","3","3","3","3","3","3","3","3","3","3","-","-","-","-","-","-"
"S�o Vicente do Sul","4319802","-29.688199999990","-54.682600000000","3.000","3.904","4.885","3.300","6.100","4.277","5.000","5.500","5.400","6.500","6.500","5.100","6.300","7.269","7.300","8.150","8.150","7.930","9.100","9.250","9.550","9.550","10.000","8.550","9.100","10.100","10.200","10.200","10.200","10.200","10.200","9.194","9.920","10.100","9.800","10.000","10.000","10.000","9.000","9.465","9.500","9.485","8.450","9.455","9.385","9.092","9.275","9.305"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","120","50","50","100","100","60","50","130","130","120","108","90","85","30","-","28","28","20","20","20","20","20","7","18","14","14","10","10","10","10","10","105","105","105","105","105","105","105","105","95","95","5","105","105","105","105","104","104"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","-","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sarandi","4320107","-27.942000000000","-52.923099999990","300","387","300","487","490","120","200","200","200","250","250","200","250","260","260","255","250","-","250","95","95","75","65","75","50","60","20","20","20","20","10","8","5","5","5","4","4","-","-","-","-","-","-","-","-","-","-","-"
"Seberi","4320206","-27.482900000000","-53.402600000000","9","300","300","860","-","-","120","406","400","570","400","390","380","380","380","460","430","90","490","510","490","530","265","530","430","330","330","330","330","330","360","330","330","330","300","330","330","310","70","18","5","5","5","5","5","5","5","5"
"Sede Nova","4320230","-27.636700000000","-53.949300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","50","45","33","33","33","23","23","3","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Segredo","4320263","-29.352300000000","-52.976700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","250","250","30","250","250","250","250","100","250","250","250","250","250","250","250","250","-","200","200","10","10","10","5","5","5","5","4","4","4","4","4","-","4"
"Selbach","4320305","-28.629400000000","-52.949800000000","45","120","140","150","200","70","60","53","60","130","170","110","160","160","160","130","140","86","110","95","35","35","12","25","25","60","68","38","20","20","5","5","5","5","2","-","1","2","-","-","-","-","-","-","-","-","-","-"
"Senador Salgado Filho","4320321","-28.025000000000","-54.550699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","50","50","50","50","50","50","50","5","-","-","3","5","3","3","3","3","-","-","-","-","-","-","-","-","-"
"Sentinela do Sul","4320354","-30.610700000000","-51.586199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.300","1.500","1.801","1.580","1.505","1.505","1.810","1.810","1.810","1.800","1.800","1.900","1.700","2.507","2.507","2.507","2.600","2.600","2.600","2.600","2.300","2.150","2.150","2.000","2.300","2.200","2.828","2.828","2.600"
"Serafina Corr�a","4320404","-28.712599999990","-51.935299999990","285","180","300","215","240","245","40","83","83","83","86","86","86","86","86","68","68","0","68","68","55","40","20","15","8","-","-","-","1","1","1","-","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�rio","4320453","-29.390400000000","-52.268500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","30","30","33","20","20","30","30","30","30","15","15","-","10","10","10","10","4","4","4","4","4","4","4","4","5","-","-","-"
"Sert�o","4320503","-27.979800000000","-52.258800000000","380","302","385","385","500","-","490","680","680","660","640","620","600","400","400","275","260","10","210","170","160","160","100","110","110","50","50","30","30","20","20","20","20","15","15","15","5","-","-","-","-","-","-","-","-","-","-","-"
"Sert�o Santana","4320552","-30.456199999990","-51.601700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","731","801","851","855","851","851","851","853","853","853","903","900","1.103","1.100","800","1.200","1.200","1.200","1.200","1.370","1.330","1.350","1.350","1.350","1.350","1.350","1.330","1.330","1.300"
"Sete de Setembro","4320578","-28.136199999990","-54.463700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","35","30","30","25","20","5","5","5","5","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-"
"Severiano de Almeida","4320602","-27.436199999990","-52.121699999990","110","118","100","140","65","100","220","99","100","112","112","112","112","112","100","96","100","0","100","100","100","100","41","41","100","70","70","70","50","35","30","20","20","15","5","5","2","2","-","-","-","-","-","-","-","-","-","-"
"Silveira Martins","4320651","-29.646699999990","-53.591000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","10","10","20","20","20","20","11","10","10","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","290","290","290","230","184","150","150","150","50","25","20","25","25","25","25","25","25","25","25","25","25","25","10","8","8","8","8","8","8"
"Sobradinho","4320701","-29.419400000000","-53.032600000000","200","200","220","250","250","230","700","780","750","600","600","1.000","600","600","300","300","300","-","300","250","250","250","130","50","15","15","20","5","5","10","4","-","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Soledade","4320800","-28.830600000000","-52.513100000000","150","100","400","500","350","600","600","500","500","400","400","400","260","100","200","100","100","0","150","110","110","110","221","110","120","276","150","170","170","170","170","140","60","40","30","20","20","10","-","-","-","-","-","-","-","-","-","-"
"Taba�","4320859","-29.643000000000","-51.682299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tapejara","4320909","-28.065200000000","-52.009700000000","210","212","220","222","270","-","280","285","285","283","280","490","505","480","480","225","200","20","115","85","80","80","70","50","20","20","20","17","10","10","10","-","10","10","5","5","5","5","5","5","3","-","-","-","-","-","-","-"
"Tapera","4321006","-28.627700000000","-52.861199999990","50","50","50","100","100","100","80","53","55","40","45","45","38","50","25","25","25","5","50","22","22","22","7","8","15","7","7","7","9","14","14","7","10","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tapes","4321105","-30.668299999990","-51.399099999990","8.599","10.113","11.377","11.500","12.000","8.635","10.200","10.800","10.800","10.800","11.000","11.008","11.008","11.008","11.008","10.302","10.002","10.300","10.300","10.818","11.000","11.000","12.100","11.000","10.930","12.100","12.100","12.130","12.130","12.130","12.700","11.900","13.295","13.295","14.820","14.820","18.329","18.329","15.950","15.461","16.863","17.817","16.108","17.600","16.150","16.540","17.122","18.235"
"Taquara","4321204","-29.650500000000","-50.775300000000","600","180","142","300","260","119","115","150","140","165","322","580","610","410","400","120","470","520","620","620","620","610","179","600","120","180","175","265","265","565","565","565","558","558","808","708","805","800","900","900","1.000","1.000","1.100","1.000","1.100","881","882","882"
"Taquari","4321303","-29.794300000000","-51.865299999990","806","794","972","1.700","1.300","374","550","570","570","855","940","1.200","1.150","1.300","940","880","830","810","910","1.010","810","1.110","720","800","750","100","1.200","1.200","1.250","1.400","1.600","2.000","2.537","2.600","2.700","2.750","2.700","2.658","2.653","2.760","2.800","2.800","2.810","2.758","2.810","3.000","3.036","3.036"
"Taquaru�u do Sul","4321329","-27.400400000000","-53.470300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","45","45","0","35","35","35","35","25","32","32","39","39","39","39","39","39","39","39","39","39","10","10","10","10","2","2","2","2","2","2","2","2","2"
"Tavares","4321352","-31.284300000000","-51.088000000000","...","...","...","...","...","...","...","...","...","1.100","1.100","1.200","1.210","1.200","1.750","1.220","1.730","1.050","1.100","2.175","2.120","2.120","1.500","1.500","1.300","1.800","1.800","1.770","1.760","1.870","2.864","2.184","1.515","1.590","2.235","1.880","2.124","2.166","2.166","2.166","2.250","2.530","2.650","2.900","2.560","2.340","1.932","1.741"
"Tenente Portela","4321402","-27.371099999990","-53.758499999990","300","300","300","300","300","200","400","297","297","260","297","297","297","280","200","175","100","100","101","47","47","47","20","13","13","13","13","31","15","15","15","15","15","15","5","-","-","5","2","-","-","-","-","-","-","3","3","3"
"Terra de Areia","4321436","-29.578199999990","-50.064399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","310","300","310","320","290","290","290","140","100","180","130","130","105","105","105","255","255","255","200","200","200","200","180","80","115","115","115","115","98","100","100","100","100"
"Teut�nia","4321451","-29.448200000000","-51.804400000000","...","...","...","...","...","...","...","...","...","70","40","35","36","36","36","36","36","25","25","3","3","1","7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-"
"Tio Hugo","4321469","-28.574040000000","-52.594900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","2","2","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tiradentes do Sul","4321477","-27.402200000000","-54.081400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","30","25","25","12","12","12","12","8","8","5","5","-","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Toropi","4321493","-29.478200000000","-54.224400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","308","308","308","302","302","315","315","300","300","300","300","300","300","306","300","250","250","250","250","250","250","250","250","250","260"
"Torres","4321501","-29.333400000000","-49.733300000000","733","664","908","1.500","1.500","1.927","2.250","2.663","3.040","2.640","3.390","3.675","3.505","3.958","3.958","3.732","4.000","3.980","3.980","3.415","3.415","3.415","2.180","2.030","2.030","1.950","1.950","1.950","3.450","3.450","3.450","3.500","3.500","2.800","3.500","3.000","3.100","3.551","3.526","3.550","3.550","3.550","3.550","3.550","3.550","3.550","3.550","3.550"
"Tramanda�","4321600","-29.984100000000","-50.132199999990","550","580","829","550","550","739","650","436","436","436","436","985","985","1.100","1.100","78","70","100","110","110","110","110","110","140","110","140","140","140","140","140","350","350","350","350","250","250","250","362","312","312","312","318","318","200","200","200","200","250"
"Travesseiro","4321626","-29.297699999990","-52.053199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","20","12","12","12","12","12","12","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tr�s Arroios","4321634","-27.500299999990","-52.144799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","140","140","-","80","80","80","80","100","80","80","60","60","60","60","60","60","3","5","5","5","3","3","3","3","3","-","-","-","-","-","-","-","-"
"Tr�s Cachoeiras","4321667","-29.448699999990","-49.927500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","118","115","115","115","115","15","15","330","413","413","413","413","413","413","413","513","513","513","513","500","500","500","533","467","467","467","467","420","420","420","420","420","420"
"Tr�s Coroas","4321709","-29.513700000000","-50.773899999990","30","15","30","35","32","26","18","67","60","50","50","45","45","40","-","50","50","37","34","34","34","34","16","34","17","17","17","17","17","5","5","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2"
"Tr�s de Maio","4321808","-27.780000000000","-54.235700000000","580","600","450","300","200","200","200","191","190","100","180","180","230","220","170","136","136","136","190","162","162","162","51","152","152","152","152","152","152","152","75","12","12","6","6","3","3","6","6","6","6","6","6","6","6","6","-","-"
"Tr�s Forquilhas","4321832","-29.538399999990","-50.070799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","70","70","70","42","42","42","42","42","42","42","42","42","42","42","42","-","-","16","16","-","-","-","-","-","-","-","-","-","-"
"Tr�s Palmeiras","4321857","-27.613900000000","-52.843699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","230","230","30","30","40","50","50","84","50","50","25","10","10","10","10","10","10","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-"
"Tr�s Passos","4321907","-27.455500000000","-53.929600000000","300","250","300","300","300","270","300","480","480","400","480","480","480","200","150","150","150","150","95","57","57","47","41","27","27","27","27","18","10","10","10","5","5","5","5","5","5","5","-","-","-","-","-","-","-","2","2","-"
"Trindade do Sul","4321956","-27.523900000000","-52.895600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","288","110","40","40","40","40","40","95","95","30","30","30","30","30","30","0","-","5","5","5","5","5","5","2","-","-","-","-","-","-","-","-","-"
"Triunfo","4322004","-29.929099999990","-51.707500000000","1.054","1.618","1.949","2.000","2.000","1.017","1.300","2.180","2.200","1.980","2.205","2.400","2.400","2.500","2.500","2.800","2.500","2.400","4.000","4.846","4.200","4.400","2.000","3.300","3.700","5.000","5.000","7.000","6.000","5.500","5.200","5.400","6.000","7.000","7.000","7.000","7.000","7.000","7.100","7.100","7.100","7.100","7.100","7.100","7.300","7.500","7.500","7.500"
"Tucunduva","4322103","-27.657299999990","-54.443899999990","160","150","150","80","80","50","70","19","35","20","100","100","10","50","30","30","30","30","30","15","15","15","9","15","15","15","15","15","15","15","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tunas","4322152","-29.103899999990","-52.953800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","45","60","0","110","103","100","100","80","100","50","50","40","30","30","35","15","-","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tupanci do Sul","4322186","-27.924099999990","-51.538300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","30","30","52","20","20","30","30","30","25","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tupanciret�","4322202","-29.085799999990","-53.844499999990","163","225","193","400","400","200","250","500","700","450","450","600","510","730","530","530","530","530","610","580","150","250","425","118","118","125","125","125","68","60","60","10","30","30","30","30","30","30","30","5","10","-","-","-","-","-","-","-"
"Tupandi","4322251","-29.477200000000","-51.417400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","30","30","30","30","30","30","17","25","15","15","15","8","8","8","8","8","8","8","8","8","8","8","8","1","1","1","1","1","1","1","1","1"
"Tuparendi","4322301","-27.759799999990","-54.481400000000","160","100","120","80","80","80","85","62","60","40","40","50","40","40","40","40","40","40","50","44","45","34","34","34","34","34","34","34","34","34","34","5","34","10","10","10","10","10","10","10","10","10","10","10","10","10","-","-"
"Turu�u","4322327","-31.417300000000","-52.170600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.170","1.170","1.170","1.200","1.100","1.100","1.000","1.208","1.250","1.050","1.100","1.668","1.530","1.712","1.550","1.260","1.503","1.834","1.682","1.519","1.791","1.630","1.445","1.481","1.621"
"Ubiretama","4322343","-28.040400000000","-54.685899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","15","15","15","15","15","15","15","3","5","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-"
"Uni�o da Serra","4322350","-28.783300000000","-52.023800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","44","30","30","15","15","15","7","5","2","2","2","2","-","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Unistalda","4322376","-29.039999999990","-55.151699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","110","150","150","220","75","10","-","-","-","30","30","120","130","127","125","-","100","60","-","-","-","-","-","-","-"
"Uruguaiana","4322400","-29.761399999990","-57.085299999990","24.743","27.353","34.589","40.000","36.400","47.716","53.000","51.930","56.540","56.070","71.616","71.000","83.000","87.000","85.000","71.168","47.700","81.000","93.000","98.000","93.000","89.280","70.000","40.000","57.500","72.100","53.627","66.200","71.580","71.580","72.267","62.000","71.124","58.095","79.853","82.700","68.750","84.400","70.900","81.414","82.748","84.081","81.353","81.555","81.235","73.308","75.000","75.760"
"Vacaria","4322509","-28.507899999990","-50.941800000000","50","100","200","300","100","50","50","130","130","130","130","130","150","150","50","30","30","30","30","20","16","15","3","8","8","8","8","10","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vale do Sol","4322533","-29.596699999990","-52.683900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.220","1.145","1.145","1.120","1.120","1.120","1.120","1.120","1.120","1.020","1.025","1.030","870","920","920","970","970","970","970","970","950","950","1.044","1.050","1.050","1.050","1.100","1.100","1.050"
"Vale Real","4322541","-29.391900000000","-51.255899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","14","14","14","2","10","6","2","2","2","2","3","3","3","3","3","2","2","2","2","2","-","-","-","-","-","-","-","-","-"
"Vale Verde","4322525","-29.786400000000","-52.185699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.230","1.100","1.400","1.500","1.090","1.600","1.410","1.680","1.525","1.700","1.460","1.725","1.720","1.520","1.516","1.110","1.150","1.100","1.100","1.175","1.180","1.175","1.110","800","900"
"Vanini","4322558","-28.475800000000","-51.844700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","19","19","-","20","20","20","15","8","10","10","8","5","5","8","8","8","8","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-"
"Ven�ncio Aires","4322608","-29.614300000000","-52.193199999990","1.260","1.225","1.655","1.380","1.360","1.180","1.500","1.559","1.800","1.725","1.500","1.600","1.400","1.400","1.400","1.400","1.100","980","1.200","1.455","1.400","1.500","1.150","1.250","1.100","1.800","1.800","1.700","1.700","1.900","1.950","1.322","1.600","1.500","1.550","1.710","1.710","1.760","1.760","1.800","1.900","1.900","1.850","1.850","1.850","1.800","1.900","1.950"
"Vera Cruz","4322707","-29.718399999990","-52.515200000000","650","909","1.144","750","730","822","660","792","750","500","590","470","410","600","650","650","650","440","540","620","610","510","505","505","405","1.005","1.005","1.000","1.000","1.025","1.055","1.140","1.015","1.015","1.015","1.015","300","1.000","1.000","1.000","1.000","1.000","898","1.000","1.000","1.000","810","920"
"Veran�polis","4322806","-28.931200000000","-51.551600000000","500","500","500","500","500","400","400","468","410","292","60","60","60","60","58","20","20","21","20","20","20","10","5","10","5","2","-","-","-","5","5","5","5","5","3","3","-","-","-","-","-","-","-","-","-","-","-","-"
"Vespasiano Correa","4322855","-29.065500000000","-51.862500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","28","28","15","15","15","5","5","5","-","5","5","3","3","3","3","3","3","3","-","-","-","-","-","-","-"
"Viadutos","4322905","-27.571600000000","-52.021099999990","210","180","215","240","100","190","150","154","155","60","60","80","80","80","60","60","60","0","80","64","65","65","15","15","20","20","20","20","20","20","20","-","10","10","10","5","-","4","1","-","-","-","-","-","-","-","-","-"
"Viam�o","4323002","-30.081900000000","-51.019399999990","8.302","7.976","9.411","8.000","7.100","8.651","6.900","9.810","8.300","7.889","8.700","10.300","12.635","16.500","18.400","18.525","18.000","17.900","18.000","19.500","22.500","22.300","15.922","14.376","15.800","17.016","18.525","15.012","15.012","17.612","19.841","19.330","22.792","22.884","23.331","24.900","23.814","25.580","24.697","26.393","27.011","26.894","26.437","26.710","24.452","20.320","18.082","18.698"
"Vicente Dutra","4323101","-27.160799999990","-53.402200000000","9","50","50","294","-","-","260","250","252","152","150","160","158","158","160","130","130","0","30","30","30","30","67","30","30","60","60","60","60","60","60","60","60","60","60","60","60","60","60","30","20","2","2","5","2","2","2","2"
"Victor Graeff","4323200","-28.563199999990","-52.749499999990","300","200","250","200","180","20","40","119","120","120","123","133","62","102","100","100","100","0","100","120","120","120","42","50","50","50","25","23","10","7","7","7","5","5","5","2","-","-","-","-","-","-","-","-","-","-","-","-"
"Vila Flores","4323309","-28.859800000000","-51.550400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","15","15","15","10","10","5","5","2","2","2","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vila L�ngaro","4323358","-28.106200000000","-52.143799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","20","20","20","20","10","7","-","5","5","5","3","3","3","3","3","3","1","-","-","-","-","-","-"
"Vila Maria","4323408","-28.535900000000","-52.148699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","150","28","0","28","28","28","28","46","28","28","28","28","28","28","28","28","-","20","10","5","5","-","-","-","-","-","-","-","-","-","-","-","-"
"Vila Nova do Sul","4323457","-30.346100000000","-53.875999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","500","500","500","500","500","500","500","500","500","525","490","460","442","460","460","500","500","400","350","270","162","350","350","290","350","330","200","200","300"
"Vista Alegre","4323507","-27.368600000000","-53.491900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","30","0","45","35","20","20","51","10","10","52","52","52","52","52","52","52","52","52","30","5","5","5","5","1","1","2","2","2","2","2","2","2"
"Vista Alegre do Prata","4323606","-28.805199999990","-51.794600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","35","35","-","35","35","30","25","25","25","25","25","25","10","5","5","5","-","5","5","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vista Ga�cha","4323705","-27.290199999990","-53.697400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25","30","40","40","30","30","20","20","8","8","8","8","5","5","5","5","5","10","10","10","10","10","2","-","-","-","-","-","-","-","-","-","-"
"Vit�ria das Miss�es","4323754","-28.351600000000","-54.503999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","175","145","145","60","100","80","70","120","60","90","90","80","70","70","70","70","20","100","100","30","30","-","-","-","-","-","20","20","20"
