"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1974 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1975 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1976 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1977 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1978 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1979 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1980 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1981 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1982 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1983 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1984 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1985 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1986 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1987 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1988 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1989 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1990 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1991 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1992 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1993 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1994 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1995 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1996 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1997 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1998 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1999 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2000 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2001 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2002 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2003 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2004 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2005 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2006 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2007 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2008 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2009 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2010 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2011 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2012 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2013 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2014 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2015 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2016 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2017 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2018 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2019 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2020 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2021 (t)"
"Salvador das Miss�es","4316477","-28.123300000000","-54.837299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","13","13","13","-","-","-","-","-","-","-","-","0","-","5","5","2","-","3","3","1","2","-","-","-","-","-","-","-","-"
"Salvador do Sul","4316501","-29.438600000000","-51.507700000000","1.600","1.120","880","754","360","150","812","618","112","325","504","544","60","300","176","124","126","21","120","87","56","56","39","17","17","22","22","22","6","8","6","-","12","12","12","12","12","6","6","6","6","6","6","10","4","5","3","5"
"Sananduva","4316600","-27.946999999990","-51.807899999990","220","338","690","235","140","-","480","224","108","153","148","203","60","258","198","22","44","0","110","110","110","110","43","70","70","42","14","14","14","14","14","-","14","14","14","14","7","7","-","4","2","-","-","-","-","-","-","-"
"Santa B�rbara do Sul","4316709","-28.365300000000","-53.250999999990","540","756","840","800","560","320","648","337","852","438","950","574","210","360","90","158","158","0","260","290","200","200","487","36","54","30","30","43","36","36","12","9","12","12","12","10","12","12","2","-","-","-","-","-","-","-","-","-"
"Santa Cec�lia do Sul","4316733","-28.153700000000","-51.929600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","10","5","5","-","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santa Clara do Sul","4316758","-29.474699999990","-52.084299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","27","27","27","36","27","32","38","38","27","13","9","9","-","-","-","-","-","2","2","1","2","-","-","-","-","-","-","-","-"
"Santa Cruz do Sul","4316808","-29.722000000000","-52.434300000000","1.057","2.683","4.432","4.320","4.273","1.785","6.100","7.396","7.476","3.042","10.400","8.925","3.040","9.750","9.220","8.320","5.320","6.048","10.800","4.204","2.908","4.312","4.622","7.016","7.016","8.554","8.554","7.735","8.042","8.100","9.630","4.800","9.750","9.750","10.460","10.460","6.885","10.976","8.780","10.530","9.720","10.530","10.543","14.378","13.300","13.300","13.125","15.200"
"Santa Margarida do Sul","4316972","-30.329599999990","-54.082299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","31.913","32.170","32.568","30.000","36.720","32.175","35.040","36.000","36.190","40.181","54.907","35.835","37.083","32.866","40.500","34.157","42.395","41.407","34.909","43.301","42.400"
"Santa Maria","4316907","-29.686800000000","-53.814999999990","18.711","21.505","23.967","37.208","28.337","15.442","28.804","27.678","22.100","23.896","33.000","34.246","16.200","32.676","32.640","37.375","31.850","32.500","42.500","35.750","30.355","42.400","53.000","31.800","23.220","35.700","39.160","39.761","48.300","35.056","52.919","53.714","58.750","65.209","64.175","64.402","46.182","71.783","57.510","62.996","59.980","62.188","51.331","54.478","57.225","42.522","38.847","44.944"
"Santa Maria do Herval","4316956","-29.490200000000","-50.991900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","264","330","157","222","222","150","150","72","30","30","48","18","18","5","9","6","1","4","4","4","4","4","3","2","4","7","7","7","7","7","7","7","7"
"Santa Rosa","4317202","-27.870200000000","-54.479599999990","35","72","72","40","15","7","13","50","36","18","18","24","36","24","25","36","36","27","27","27","27","27","11","36","36","36","36","36","36","36","36","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santa Tereza","4317251","-29.165500000000","-51.735100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","17","7","9","2","6","5","2","3","3","3","3","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santa Vit�ria do Palmar","4317301","-33.524999999990","-53.371699999990","182.400","191.916","183.752","168.000","164.000","179.355","222.600","237.825","291.783","220.590","263.909","300.000","315.000","322.000","357.000","429.000","384.000","422.400","478.400","478.400","423.000","423.000","265.000","327.630","306.341","406.470","389.021","353.400","285.200","297.500","401.760","412.500","324.619","323.183","385.982","440.127","444.454","558.822","475.139","527.438","532.000","582.633","553.813","606.204","587.687","538.189","546.109","592.439"
"Santana da Boa Vista","4317004","-30.869700000000","-53.109999999990","2.550","1.142","1.766","2.700","3.465","1.038","3.600","2.600","4.000","2.880","2.892","3.265","1.620","2.527","2.302","1.749","2.195","2.435","2.400","1.955","1.835","2.195","2.577","2.336","1.905","1.905","1.905","3.195","2.919","2.919","3.174","2.875","1.950","1.950","1.995","2.027","2.027","2.723","3.850","4.194","3.850","9.300","2.496","2.216","1.960","1.925","3.002","1.652"
"Santana do Livramento","4317103","-30.887699999990","-55.531500000000","5.051","7.162","11.938","6.500","5.940","12.911","18.000","17.098","15.000","22.640","36.735","36.000","17.640","37.500","38.000","36.300","13.200","32.000","45.000","50.472","41.043","52.800","45.590","39.591","29.260","80.366","56.337","65.395","59.323","46.090","68.833","66.316","75.020","51.752","70.658","71.209","64.439","86.807","61.577","64.987","65.338","74.767","66.142","81.509","67.089","56.273","66.958","64.576"
"Santiago","4317400","-29.189699999990","-54.866599999990","87","900","900","900","900","630","1.033","530","1.200","1.750","1.350","1.520","1.428","1.820","2.880","1.381","1.950","360","2.320","2.560","2.150","3.100","1.596","760","775","745","545","545","545","30","180","293","338","75","330","365","385","-","-","-","-","-","-","-","-","-","-","-"
"Santo �ngelo","4317509","-28.300100000000","-54.266800000000","450","550","840","1.125","585","435","975","841","569","301","357","509","540","960","420","400","400","100","610","375","325","340","63","340","340","127","137","167","167","137","136","100","190","90","90","90","-","-","-","-","-","-","-","-","-","-","-","-"
"Santo Ant�nio da Patrulha","4317608","-29.826799999990","-50.517499999990","20.807","23.504","26.426","26.000","25.350","24.033","26.600","24.174","31.020","25.614","43.764","47.564","49.564","50.450","50.533","50.510","45.510","40.510","50.480","60.480","60.480","60.320","59.070","57.500","57.500","57.500","57.500","54.625","67.681","69.960","75.266","87.884","87.884","77.146","88.400","89.830","85.618","94.640","106.526","109.480","102.220","98.029","103.927","101.320","103.632","99.060","86.400","92.550"
"Santo Ant�nio das Miss�es","4317707","-28.513999999990","-55.225099999990","2.392","2.978","5.153","3.000","3.900","4.922","6.560","9.105","7.760","8.100","8.460","7.738","9.880","18.015","20.251","24.760","22.510","13.505","25.027","30.027","22.527","30.018","20.800","20.250","15.750","26.500","27.500","22.790","22.790","15.400","23.408","27.193","22.066","20.692","28.717","37.439","43.428","44.688","33.702","28.875","34.356","32.120","28.569","38.080","23.712","19.500","22.672","21.556"
"Santo Ant�nio do Palma","4317558","-28.495600000000","-52.026699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","87","87","87","39","38","38","15","16","20","20","20","14","6","20","20","20","20","10","10","2","8","8","8","8","8","8","8","8","-"
"Santo Ant�nio do Planalto","4317756","-28.403099999990","-52.699199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","137","63","63","26","34","34","34","25","27","18","18","11","4","9","9","9","6","-","-","-","-","-","-","-","-","-","-","-","-"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","235","270","270","270","-","420","500","427","807","719","335","420","420","490","275","660","600","375","730","540","344","272","400","336","417","281","346","322","186","210","252","234","280","390","330","285","330","372","27","-","90","60","-","-","-","-","-","-"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","120","375","288","160","60","30","36","51","35","18","107","18","18","60","108","126","12","10","10","10","10","10","17","12","12","12","12","12","12","12","1","-","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santo Expedito do Sul","4317954","-27.907399999990","-51.643300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","65","104","130","97","70","50","50","50","7","6","18","9","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Borja","4318002","-28.657800000000","-56.003599999990","53.184","59.807","69.946","59.680","95.000","69.554","90.000","96.800","103.200","90.206","135.000","135.000","123.480","157.500","175.000","174.000","175.000","135.000","197.600","200.000","119.484","210.000","166.356","125.000","112.625","196.400","194.490","206.035","203.490","169.250","259.202","263.232","314.069","308.842","331.742","372.366","340.798","405.000","363.938","380.948","395.709","347.438","291.230","352.000","377.811","288.852","312.887","306.400"
"S�o Domingos do Sul","4318051","-28.531199999990","-51.886000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","30","0","23","23","15","23","15","15","15","15","8","9","9","7","7","-","4","4","4","4","5","5","-","-","-","-","-","-","-","-","-","-"
"S�o Francisco de Assis","4318101","-29.554700000000","-55.125300000000","4.767","7.627","7.978","10.500","9.000","7.516","10.500","10.500","18.000","11.200","14.400","15.120","22.400","26.043","26.475","27.017","20.960","19.835","31.650","15.545","12.445","17.545","16.333","14.000","16.200","22.500","20.000","25.000","21.250","13.813","22.100","22.000","29.750","24.000","28.210","28.908","14.359","37.057","25.201","22.051","26.250","24.290","13.361","32.104","27.013","20.310","21.767","24.478"
"S�o Francisco de Paula","4318200","-29.440400000000","-50.582799999990","30","112","216","180","173","180","233","88","81","54","60","55","49","39","29","21","21","27","27","31","31","31","15","8","8","6","6","7","5","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Gabriel","4318309","-30.333700000000","-54.321700000000","55.327","69.712","72.484","86.800","88.647","59.809","77.000","74.100","88.000","54.913","99.000","103.400","67.500","82.000","102.000","112.320","76.500","88.000","141.180","135.200","96.000","150.000","163.800","123.500","38.500","201.000","161.200","139.975","161.352","111.817","156.000","153.000","210.925","182.500","208.800","207.060","193.920","226.260","189.042","195.344","210.000","225.150","193.227","237.415","234.900","177.197","233.004","211.970"
"S�o Jer�nimo","4318408","-29.971599999990","-51.725099999990","4.800","4.699","5.053","4.456","4.350","2.324","3.780","5.550","5.600","3.854","4.000","3.950","4.750","4.145","4.310","5.255","5.298","7.580","5.448","6.273","6.508","5.490","5.400","5.400","5.760","6.075","6.130","4.814","6.046","5.880","6.750","6.564","11.000","12.000","13.640","11.800","8.640","9.300","7.680","7.800","7.250","8.125","13.468","16.233","14.280","12.342","7.502","9.600"
"S�o Jo�o da Urtiga","4318424","-27.819500000000","-51.825699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","150","120","1","120","120","120","120","60","60","60","60","30","30","30","30","15","-","10","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-"
"S�o Jo�o do Pol�sine","4318432","-29.619399999990","-53.443899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10.200","8.415","9.180","10.044","9.075","9.350","12.250","11.700","9.250","12.431","12.080","12.200","13.110","14.250","13.110","15.000","15.760","12.000","15.000","13.600","16.467","16.467","15.756","13.316","16.264","15.857","15.857","15.857","16.264"
"S�o Jorge","4318440","-28.498400000000","-51.706400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","80","80","24","80","80","80","80","12","36","24","24","24","24","12","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� das Miss�es","4318457","-27.778900000000","-53.122599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","260","260","200","56","200","200","200","200","200","200","200","200","160","200","200","200","200","9","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Herval","4318465","-29.052000000000","-52.295000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","126","147","15","147","80","80","80","28","15","32","32","38","40","21","15","11","-","6","11","14","5","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Hort�ncio","4318481","-29.527999999990","-51.245000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","33","49","31","40","6","6","6","4","9","9","9","9","9","4","6","5","1","6","6","6","6","6","6","6","6","6","6","6","6","6","8","8","20"
"S�o Jos� do Inhacor�","4318499","-27.725100000000","-54.127499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","74","74","74","3","38","26","26","26","26","26","26","6","-","1","1","1","1","1","1","2","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Norte","4318507","-32.015099999990","-52.033099999990","4.074","5.911","5.434","3.360","2.078","3.194","3.960","7.800","7.800","7.761","10.000","12.000","13.475","17.200","19.600","17.340","13.600","19.200","9.600","15.000","18.228","13.923","21.096","7.718","5.987","8.410","5.720","8.800","9.400","9.500","10.200","10.200","10.200","15.400","15.400","13.783","13.783","13.412","14.430","14.917","13.600","13.600","13.600","12.240","13.634","10.226","10.086","10.089"
"S�o Jos� do Ouro","4318606","-27.770700000000","-51.596600000000","180","440","600","385","220","34","526","150","140","375","450","423","212","282","399","360","360","36","260","195","225","300","102","200","200","180","180","29","29","10","10","2","9","9","9","9","4","4","3","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Sul","4318614","-29.529000000000","-51.487099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� dos Ausentes","4318622","-28.747599999990","-50.067700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Leopoldo","4318705","-29.754500000000","-51.149799999990","15","1","15","-","-","-","-","-","-","-","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Louren�o do Sul","4318804","-31.356400000000","-51.971499999990","23.505","27.467","29.409","38.400","45.785","20.800","38.860","31.962","31.962","28.452","31.125","33.200","40.800","36.550","39.175","39.349","20.100","38.250","40.335","45.075","35.675","47.545","50.389","48.636","35.480","49.450","45.100","41.460","43.950","33.153","51.843","49.793","52.532","55.590","61.191","70.014","51.813","74.162","69.181","68.633","67.772","72.472","64.241","79.401","73.811","67.111","58.504","76.445"
"S�o Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","420","846","1.067","2.800","2.800","1.479","4.820","1.511","3.672","3.940","3.750","2.976","1.600","5.430","6.753","7.245","6.075","5.350","7.560","8.200","4.980","6.780","4.669","4.840","3.040","5.856","5.256","4.515","3.610","1.615","3.300","2.093","2.015","2.415","2.415","2.415","1.658","1.907","1.500","1.200","800","800","300","300","-","-","-","-"
"S�o Marcos","4319000","-28.967700000000","-51.069600000000","84","180","144","144","144","180","180","36","6","6","21","50","10","12","12","14","14","5","9","14","9","8","-","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Martinho","4319109","-27.711200000000","-53.969900000000","720","720","720","600","324","5","180","90","35","35","63","46","32","53","25","58","36","16","76","96","96","96","55","92","92","92","92","92","60","60","60","45","60","20","20","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Martinho da Serra","4319125","-29.539700000000","-53.859000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.092","928","1.082","672","1.386","1.260","1.470","1.340","1.500","1.300","1.500","475","1.350","1.452","1.125","1.013","1.125","900","1.071","480","355","338","360","315","405","360","317","405","450"
"S�o Miguel das Miss�es","4319158","-28.556000000000","-54.555900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","302","350","120","1.000","1.250","960","960","1.000","1.200","1.200","1.410","1.868","1.815","534","534","435","428","435","450","465","210","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Nicolau","4319208","-28.183399999990","-55.265400000000","1.252","1.080","1.311","2.000","2.000","1.800","3.260","2.150","2.270","2.590","2.670","2.456","900","1.220","1.402","950","490","676","1.400","927","1.152","1.227","1.216","1.294","1.032","1.772","1.812","2.030","1.595","554","458","240","245","1.000","1.200","700","150","150","-","640","640","-","-","-","-","-","-","-"
"S�o Paulo das Miss�es","4319307","-28.019500000000","-54.940399999990","40","80","95","95","45","21","90","30","16","42","45","45","-","48","25","60","30","0","30","40","44","46","8","12","12","20","10","6","6","13","3","6","21","27","15","8","6","-","-","-","-","-","-","-","-","2","-","-"
"S�o Pedro da Serra","4319356","-29.419300000000","-51.513399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","38","30","23","16","16","16","16","16","11","11","11","6","4","8","8","8","8","5","4","4","2","2","2","-","-","-","-","-","-"
"S�o Pedro das Miss�es","4319364","-27.773219999990","-53.250470000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","9","9","9","9","6","6","6","6","6","8","10","10","6","-","-","-","-","-","-","-","-"
"S�o Pedro do Buti�","4319372","-28.124300000000","-54.892600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","38","38","38","6","9","6","6","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Pedro do Sul","4319406","-29.620200000000","-54.185499999990","6.867","8.424","10.255","14.968","11.560","6.495","7.200","13.500","14.000","13.504","10.000","12.000","7.500","13.050","15.080","20.000","25.000","25.000","18.430","19.000","13.965","15.700","19.000","16.500","14.025","16.500","16.500","16.500","22.083","18.469","23.200","24.000","25.700","24.790","27.485","28.150","19.330","29.565","24.709","28.000","29.200","26.455","22.779","26.620","28.560","21.503","33.600","31.756"
"S�o Sebasti�o do Ca�","4319505","-29.588500000000","-51.374899999990","1.875","257","407","300","375","457","847","1.027","795","1.196","1.170","1.170","1.105","939","2.352","15","15","14","18","12","12","12","1","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Sep�","4319604","-30.164300000000","-53.560299999990","37.554","44.110","46.230","45.600","48.600","32.747","42.840","46.670","55.900","40.774","60.000","67.500","35.036","68.800","80.000","88.000","50.400","88.000","81.600","99.000","74.154","90.750","79.596","65.340","44.541","88.000","84.800","103.425","108.350","90.620","124.110","105.634","123.125","128.050","133.620","142.000","103.902","165.522","126.980","122.400","125.300","129.970","101.392","129.000","126.764","114.395","121.600","140.000"
"S�o Valentim","4319703","-27.558299999990","-52.523699999990","550","1.248","1.320","1.484","180","-","675","514","347","495","473","297","224","270","432","210","210","30","225","225","225","225","160","165","22","21","21","27","9","32","14","-","14","27","27","12","14","7","2","4","-","-","-","-","-","-","-","-"
"S�o Valentim do Sul","4319711","-29.045100000000","-51.768400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","96","72","72","44","40","60","60","60","30","23","15","13","2","15","8","7","7","7","3","3","1","3","3","3","3","3","2","-","-"
"S�o Val�rio do Sul","4319737","-27.790600000000","-53.936799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","45","27","27","48","12","12","6","5","5","10","10","12","8","5","6","24","6","3","-","-","-","-","-","-","-","-","-","-","-"
"S�o Vendelino","4319752","-29.372900000000","-51.367500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","10","0","8","8","8","8","11","14","14","14","14","7","7","10","5","5","4","4","4","6","9","9","9","9","9","9","-","-","-","-","-","-"
"S�o Vicente do Sul","4319802","-29.688199999990","-54.682600000000","10.200","14.888","17.379","11.220","20.900","13.053","20.200","23.100","26.460","26.910","30.875","23.900","28.650","33.874","35.275","46.135","44.300","36.725","49.620","52.762","42.825","48.525","50.500","46.820","42.479","60.180","51.360","50.360","54.360","39.980","52.664","57.252","63.008","64.280","62.720","65.000","42.250","77.400","66.600","69.662","70.015","72.560","54.165","74.316","79.021","64.008","78.374","81.047"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","288","120","120","240","240","137","135","202","166","169","139","88","51","30","-","60","60","45","53","53","53","53","10","51","32","32","12","12","12","12","12","426","426","426","426","566","566","426","719","649","649","19","469","469","719","719","715","715"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","-","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sarandi","4320107","-27.942000000000","-52.923099999990","450","506","570","584","245","30","350","300","62","300","300","240","275","286","281","434","400","-","450","190","190","113","98","113","100","120","40","40","40","40","20","4","9","9","9","6","6","-","-","-","-","-","-","-","-","-","-","-"
"Seberi","4320206","-27.482900000000","-53.402600000000","9","600","600","1.720","-","-","240","487","230","456","480","390","304","608","247","968","853","450","1.298","1.548","1.311","1.315","877","1.315","950","1.575","1.575","1.575","1.575","1.575","1.340","1.370","1.370","1.370","1.180","1.256","1.256","1.350","385","73","15","15","15","15","15","15","15","15"
"Sede Nova","4320230","-27.636700000000","-53.949300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","36","36","155","190","140","140","140","53","94","4","4","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Segredo","4320263","-29.352300000000","-52.976700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","450","450","24","450","450","400","510","100","633","500","500","550","625","625","625","450","-","400","400","20","20","20","10","8","8","11","9","8","8","8","12","-","8"
"Selbach","4320305","-28.629400000000","-52.949800000000","54","252","280","300","280","42","97","107","60","218","330","258","324","540","315","360","370","271","465","321","124","124","22","71","71","203","233","129","62","62","7","8","8","10","4","-","3","4","-","-","-","-","-","-","-","-","-","-"
"Senador Salgado Filho","4320321","-28.025000000000","-54.550699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","150","150","150","150","150","150","150","8","-","-","15","15","9","9","9","9","-","-","-","-","-","-","-","-","-"
"Sentinela do Sul","4320354","-30.610700000000","-51.586199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6.500","7.500","9.902","7.900","7.507","5.633","9.465","9.468","7.578","9.900","9.900","11.400","9.350","14.102","13.789","13.789","16.900","14.950","17.680","17.680","14.950","12.900","13.975","13.000","16.100","14.476","18.382","18.458","18.460"
"Serafina Corr�a","4320404","-28.712599999990","-51.935299999990","265","252","454","210","178","221","48","70","39","69","172","172","77","129","51","156","157","0","204","157","65","96","18","36","19","-","-","-","2","2","2","-","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�rio","4320453","-29.390400000000","-52.268500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","54","54","54","60","36","36","54","54","63","63","32","32","-","21","21","21","21","8","8","8","8","8","8","8","8","10","-","-","-"
"Sert�o","4320503","-27.979800000000","-52.258800000000","380","497","1.155","385","300","-","980","748","292","462","480","558","180","120","198","600","540","20","650","530","288","288","80","154","220","100","125","75","75","50","50","12","40","36","36","38","12","-","-","-","-","-","-","-","-","-","-","-"
"Sert�o Santana","4320552","-30.456199999990","-51.601700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.286","4.801","5.526","4.275","4.251","3.316","4.676","4.679","3.829","4.679","4.954","4.950","6.053","6.050","1.800","7.200","8.400","7.020","8.400","10.275","9.310","9.450","10.125","6.581","10.125","9.618","9.310","9.975","9.100"
"Sete de Setembro","4320578","-28.136199999990","-54.463700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","35","154","143","138","90","52","10","5","5","10","10","10","10","10","10","-","-","-","-","-","-","-","-","-","-"
